District,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,422568,284490,273294,11196,67.32%
Taibao City,31556,21537,20689,848,68.25%
Puzi City,33816,23116,22300,816,68.36%
Budai Township,22325,15019,14345,674,67.27%
Dalin Township,25671,17274,16725,549,67.29%
Minxiong Township,59596,38965,37615,1350,65.38%
Xikou Township,12044,8214,7738,476,68.20%
Xingang Township,26123,19309,18346,963,73.92%
Liujiao Township,19234,13703,12891,812,71.24%
Dongshi Township,20651,14799,14038,761,71.66%
Yizhu Township,15401,11465,11050,415,74.44%
Lucao Township,12974,8990,8551,439,69.29%
Shuishang Township,42201,25915,25117,798,61.41%
Zhongpu Township,37452,22420,21562,858,59.86%
Zhuqi Township,29515,19173,18593,580,64.96%
Meishan Township,15953,11579,11193,386,72.58%
Fanlu Township,9690,7177,6907,270,74.07%
Dapu Township,3900,2927,2783,144,75.05%
Alishan Township,4466,2908,2851,57,65.11%
