Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,19234,13703,12891,812,71.24%
0298,1092,753,712,41,68.96%
0299,771,601,565,36,77.95%
0300,833,650,614,36,78.03%
0301,194,153,148,5,78.87%
0302,1103,818,769,49,74.16%
0303,1105,828,780,48,74.93%
0304,824,581,527,54,70.51%
0305,595,403,383,20,67.73%
0306,523,377,352,25,72.08%
0307,153,101,97,4,66.01%
0308,199,134,128,6,67.34%
0309,222,130,127,3,58.56%
0310,339,229,219,10,67.55%
0311,556,369,348,21,66.37%
0312,550,401,374,27,72.91%
0313,655,463,415,48,70.69%
0314,944,736,687,49,77.97%
0315,847,566,537,29,66.82%
0316,981,650,619,31,66.26%
0317,1381,914,868,46,66.18%
0318,564,429,408,21,76.06%
0319,444,337,322,15,75.90%
0320,580,401,372,29,69.14%
0321,813,544,507,37,66.91%
0322,704,465,435,30,66.05%
0323,499,360,339,21,72.14%
0324,592,467,436,31,78.89%
0325,628,484,462,22,77.07%
0326,425,286,269,17,67.29%
0327,118,73,72,1,61.86%
